MoleculeGroup	PrecursorName	PrecursorFormula	PrecursorAdduct	PrecursorMz	PrecursorCharge	ProductName	ProductFormula	ProductAdduct	ProductMz	ProductCharge	Note
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	precursor	C18H30O3	[M-H]1-	293.212218484909	-1	replicate of 13-HOTrE [M-H]1- precursor
AA	AA{d8}	C20H24H'8O2	[M-H]1-	311.283167876909	-1	267.2929		[M-H]1-	267.2929	-1	
AA	AA{d8}	C20H24H'8O2	[M-H]1-	311.283167876909	-1	239.2618		[M-H]1-	239.2618	-1	
AA	AA{d8}	C20H24H'8O2	[M-H]1-	311.283167876909	-1	212.2400		[M-H]1-	212.2400	-1	
AA	AA{d8}	C20H24H'8O2	[M-H]1-	311.283167876909	-1	183.2024		[M-H]1-	183.2024	-1	
AA	AA{d8}	C20H24H'8O2	[M-H]1-	311.283167876909	-1	59.0133		[M-H]1-	59.0133	-1	
AA	AA{d8}	C20H24H'8O2	[M-H]1-	311.283167876909	-1	precursor	C20H24H'8O2	[M-H]1-	311.283167876909	-1	
alpha-LA	alpha-LA{d14}	C18H16H'14O2	[M-H]1-	291.305178270909	-1	271.2819		[M-H]1-	271.2819	-1	
alpha-LA	alpha-LA{d14}	C18H16H'14O2	[M-H]1-	291.305178270909	-1	247.3155		[M-H]1-	247.3155	-1	
alpha-LA	alpha-LA{d14}	C18H16H'14O2	[M-H]1-	291.305178270909	-1	215.2594		[M-H]1-	215.2594	-1	
alpha-LA	alpha-LA{d14}	C18H16H'14O2	[M-H]1-	291.305178270909	-1	89.0880		[M-H]1-	89.0880	-1	
alpha-LA	alpha-LA{d14}	C18H16H'14O2	[M-H]1-	291.305178270909	-1	74.0326		[M-H]1-	74.0326	-1	
alpha-LA	alpha-LA{d14}	C18H16H'14O2	[M-H]1-	291.305178270909	-1	61.0261		[M-H]1-	61.0261	-1	
alpha-LA	alpha-LA{d14}	C18H16H'14O2	[M-H]1-	291.305178270909	-1	precursor	C18H16H'14O2	[M-H]1-	291.305178270909	-1	
DHA	DHA{d5}	C22H27H'5O2	[M-H]1-	332.264337644909	-1	314.2538		[M-H]1-	314.2538	-1	
DHA	DHA{d5}	C22H27H'5O2	[M-H]1-	332.264337644909	-1	288.2744		[M-H]1-	288.2744	-1	
DHA	DHA{d5}	C22H27H'5O2	[M-H]1-	332.264337644909	-1	260.2429		[M-H]1-	260.2429	-1	
DHA	DHA{d5}	C22H27H'5O2	[M-H]1-	332.264337644909	-1	234.2274		[M-H]1-	234.2274	-1	
DHA	DHA{d5}	C22H27H'5O2	[M-H]1-	332.264337644909	-1	182.1961		[M-H]1-	182.1961	-1	
DHA	DHA{d5}	C22H27H'5O2	[M-H]1-	332.264337644909	-1	59.0133		[M-H]1-	59.0133	-1	
DHA	DHA{d5}	C22H27H'5O2	[M-H]1-	332.264337644909	-1	precursor	C22H27H'5O2	[M-H]1-	332.264337644909	-1	
EPA	EPA{d5}	C20H25H'5O2	[M-H]1-	306.248687574909	-1	262.2586		[M-H]1-	262.2586	-1	
EPA	EPA{d5}	C20H25H'5O2	[M-H]1-	306.248687574909	-1	208.2118		[M-H]1-	208.2118	-1	
EPA	EPA{d5}	C20H25H'5O2	[M-H]1-	306.248687574909	-1	59.0134		[M-H]1-	59.0134	-1	
EPA	EPA{d5}	C20H25H'5O2	[M-H]1-	306.248687574909	-1	precursor	C20H25H'5O2	[M-H]1-	306.248687574909	-1	
Linoleic acid	Linoleic acid{d4}	C18H28H'4O2	[M-H]1-	283.258060900909	-1	265.2472		[M-H]1-	265.2472	-1	
Linoleic acid	Linoleic acid{d4}	C18H28H'4O2	[M-H]1-	283.258060900909	-1	59.0134		[M-H]1-	59.0134	-1	
Linoleic acid	Linoleic acid{d4}	C18H28H'4O2	[M-H]1-	283.258060900909	-1	precursor	C18H28H'4O2	[M-H]1-	283.258060900909	-1	
Linoleic acid	Linoleic acid{d11}	C18H21H'11O2	[M-H]1-	290.301998108909	-1	272.2912		[M-H]1-	272.2912	-1	
Linoleic acid	Linoleic acid{d11}	C18H21H'11O2	[M-H]1-	290.301998108909	-1	59.0134		[M-H]1-	59.0134	-1	
Linoleic acid	Linoleic acid{d11}	C18H21H'11O2	[M-H]1-	290.301998108909	-1	precursor	C18H21H'11O2	[M-H]1-	290.301998108909	-1	
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	321.2370		[M-H]1-	321.2370	-1	
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	277.2472		[M-H]1-	277.2472	-1	
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	197.1151		[M-H]1-	197.1151	-1	
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	153.1253		[M-H]1-	153.1253	-1	
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	130.0619		[M-H]1-	130.0619	-1	
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	71.0135		[M-H]1-	71.0135	-1	
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	59.0133		[M-H]1-	59.0133	-1	
